fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI*48964225*Trimester 3 2009*2009-07-01*2009-09-30*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.23**707458.87*180*0.0*7032050*false*9.9399***0.19*0.03*15.07*14.61*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EFICIENTE FI*48964225*Semester 1 2009*2009-01-01*2009-06-30*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.9**728569.89*181*0.0*6293373*false*8.638***0.37*0.05*16.18*18.38*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 2 2010*2010-07-01*2010-12-31*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.41**720379.95*176*0.0*8249392*false*11.45*[]*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 3 2010*2010-07-01*2010-09-30*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.29**609899.44*175*0.0*6584152*false*10.8*[]*[]*0.19*0.03*5.87*14.52*0.23*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 1 2010*2010-01-01*2010-06-30*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.21**613267.23*175*0.0*6253397*false*10.2*[]*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 1 2010*2010-01-01*2010-03-31*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.22**637379.95*176*0.0*6838233*false*10.73*[]*[]*0.19*0.02*3.18*12.35*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 2 2011*2011-07-01*2011-12-31*1411*gestora@fineco.com*AA- (S&P)*alto*0.95*0.97**772982.4*169*0.0*8171247*false*10.57*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 3 2011*2011-07-01*2011-09-30*1411*gestora@fineco.com*AA  (S&P)*alto*0.39*1.02**792750.76*178*0.0*7692870*false*9.7*[]*[]*0.19*0.03*-15.53*23.75*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 1 2011*2011-01-01*2011-06-30*1411*gestora@fineco.com*AA  (S&P)*alto*0.05*0.75**766142.43*176*0.0*8801566*false*11.49*[]*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 1 2011*2011-01-01*2011-03-31*1411*gestora@fineco.com*AA  (S&P)*alto*0.0*0.56**764309.58*175*0.0*8703835*false*11.39*[]*[]*0.18*0.02*-0.56*12.11*0.22*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 2 2012*2012-07-01*2012-12-31*1411*gestora@fineco.com*A-  (S&P)*alto*0.0*0.09**1063341.57*204*0.0*13191546*false*12.4057*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 3 2012*2012-07-01*2012-09-30*1411*gestora@fineco.com*A-  (S&P)*alto*0.0*0.12**935823.06*184*0.0*11223436*false*11.99*0.19*[]*0.19*0.03*6.92*10.51*0.42*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 1 2012*2012-01-01*2012-06-30*1411*gestora@fineco.com*A-  (S&P)*alto*0.3*0.23**848978.4*170*0.0*9522513*false*11.22*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 1 2012*2012-01-01*2012-03-31*1411*gestora@fineco.com*A+  (S&P)*alto*0.28*0.21**834079.02*168*0.0*9593765*false*11.5*0.19*[]*0.19*0.02*8.81*10.89*0.44*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 3 2013*2013-07-01*2013-09-30*1411*gestora@fineco.com*A+  (S&P)*alto*0.0*0.02**2125831.17*354*0.0*29729787*false*13.985*0.19*[]*0.19*0.03*7.57*8.85*0.45*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 1 2013*2013-01-01*2013-06-30*1411*gestora@fineco.com*A+  (S&P)*alto*0.43*0.03**1731825.8*305*0.0*22514276*false*13.0003*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 1 2013*2013-01-01*2013-03-31*1411*gestora@fineco.com*A+  (S&P)*alto*0.0*0.03**1355239.35*257*0.0*17883564*false*13.1959*0.18*[]*0.18*0.02*6.37*8.27*0.36*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 2 2012*2012-07-01*2012-12-31*1411*gestora@fineco.com*A-  (S&P)*alto*0.0*0.09**1063341.57*204*0.0*13191546*false*12.4057*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Semester 2 2014*2014-07-01*2014-12-31*1411*gestora@fineco.com*BBB+*alto*0.0*0.0**4185416.89*762*0.0*67247793*false*16.0672*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 3 2014*2014-07-01*2014-09-30*1411*gestora@fineco.com*A+  (S&P)*alto*0.0*0.01**3783303.55*654*0.0*59623859*false*15.7597*0.19*[]*0.19*0.03*0.98*10.16*0.44*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Semester 1 2014*2014-01-01*2014-06-30*1411*gestora@fineco.com*A+  (S&P)*alto*0.0*0.14**3532656.36*579*0.0*55133657*false*15.6069*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI SERIE A*48964225*Trimester 1 2014*2014-01-01*2014-03-31*1411*gestora@fineco.com*A+  (S&P)*alto*0.0*0.13**3221996.58*516*0.0*48779191*false*15.1394*0.18*[]*0.18*0.02*2.44*11.11*0.43*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Semester 2 2015*2015-07-01*2015-12-31*1411*gestora@fineco.com*A-*6 en una escala del 1 al 7*0.0*0.0**6647291.74*1341*0.0*121857265*false*18.3319*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 3 2015*2015-07-01*2015-09-30*1411*gestora@fineco.com*A-*6 en una escala del 1 al 7*0.0*0.0**6083951.71*1226*0.0*104487988*false*17.1744*0.19*[]*0.19*0.03*-6.95*25.58*0.42*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Semester 1 2015*2015-01-01*2015-06-30*1411*gestora@fineco.com*BBB+*6 en una escala del 1 al 7*0.0*0.0**5484493.02*1112*0.0*101231701*false*18.4578*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 1 2015*2015-01-01*2015-03-31*1411*gestora@fineco.com*BBB+*6 en una escala del 1 al 7*0.14*0.0**5072885.41*963*0.0*95841154*false*18.8928*0.18*[]*0.18*0.02*17.59*12.99*0.41*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Semester 2 2016*2016-07-01*2016-12-31*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.25*0.0**6695872.18*1412*0.0*118834582*false*17.7474*0.38*[]*0.38*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Trimester 3 2016*2016-07-01*2016-09-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**7133002.14*1416*0.0*123938746*false*17.3754*0.19*[]*0.19*0.03*3.74*11.59*0.45*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
MULTIFONDO EUROPA, FI*MULTIFONDO EUROPA FI CLASE A*48964225*Semester 1 2016*2016-01-01*2016-06-30*1411*gestora@fineco.com*A-*5 en una escala del 1 al 7*0.0*0.0**7268423.4*1428*0.0*121735128*false*16.7485*0.37*[]*0.37*0.05*[]*[]*[]*G.I.I.C. FINECO, S.A., S.G.I.I.C.*CACEIS BANK SPAIN S.A.*
