fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
ORFEO, FI*ORFEO, F.I.*87480471*Semester 2 2016*2016-07-01*2016-12-31*4960*fondos@bankia.com*BB+*3, en una escala del 1 al 7*0.34*0.0**187175.26*121*0.0*18877617*false*100.8553*0.15*0.05*0.2*0.03*0.49**0.1*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Trimester 3 2016*2016-07-01*2016-09-30*4960*fondos@bankia.com*BB+*3, en una escala del 1 al 7*0.64*0.0**105220.05*122*0.0*10559810*false*100.3593*0.08*0.02*0.09*0.01*0.35**0.09*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Semester 1 2016*2016-01-01*2016-06-30*4960*fondos@bankia.com*BB+*3, en una escala del 1 al 7*0.0*0.0**101574.93*113*0.0*10157990*false*100.0049*0.09*0.0*0.1*0.02*0.0**0.12*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Trimester 1 2016*2016-01-01*2016-03-31*4960*fondos@bankia.com*BB*3, en una escala del 1 al 7*0.0*0.0**3000.0*1*0.0*300000*false*100.0*0.0*0.0*0.0*0.0***0.0*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Trimester 3 2017*2017-07-01*2017-09-30*4960*fondos@bankia.com*BBB-*3, en una escala del 1 al 7*0.0*0.0**287696.7*120*0.0*29457208*false*102.3898*0.08*0.04*0.12*0.01*0.43*1.49*0.09*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Semester 1 2017*2017-01-01*2017-06-30*4960*fondos@bankia.com*BBB-*3, en una escala del 1 al 7*0.0*0.0**210717.68*120*0.0*21482836*false*101.9508*0.15*0.04*0.19*0.02*0.27*1.49*0.09*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Trimester 1 2017*2017-01-01*2017-03-31*4960*fondos@bankia.com*BBB-*3, en una escala del 1 al 7*0.0*0.0**237925.49*123*0.0*24190741*false*101.6736*0.07*0.04*0.11*0.01*0.81*1.69*0.09*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Semester 2 2016*2016-07-01*2016-12-31*4960*fondos@bankia.com*BB+*3, en una escala del 1 al 7*0.34*0.0**187175.26*121*0.0*18877617*false*100.8553*0.15*0.05*0.2*0.03*0.49**0.1*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Trimester 3 2018*2018-07-01*2018-09-30*4960*fondos@bankia.com*BBB*2, en una escala del 1 al 7*0.0*0.0**179552.58*109*0.0*18120661*false*100.9212*0.08*0.0*0.08*0.01*-0.25*1.67*0.1*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Semester 1 2018*2018-01-01*2018-06-30*4960*fondos@bankia.com*BBB*2, en una escala del 1 al 7*0.0*0.0**179955.89*109*0.0*18206713*false*101.1732*0.15*0.0*0.15*0.02*-0.42*1.7*0.1*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
ORFEO, FI*ORFEO, F.I.*87480471*Trimester 1 2018*2018-01-01*2018-03-31*4960*fondos@bankia.com*BBB-*2, en una escala del 1 al 7*0.0*0.0**179828.9*115*0.0*18270311*false*101.5983*0.07*0.0*0.07*0.01*-0.39*1.47*0.1*BANKIA FONDOS, S.G.I.I.C., S.A.*CECABANK, S.A.*ES0167540006
