fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 2 2009*2009-07-01*2009-12-31*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Alto*0.0*0.24**10514.51*630*0.0*6531156*false*621.1564***1.13*0.1*7.34*11.37*0.69*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 3 2009*2009-07-01*2009-09-30*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Alto*0.0*0.24**8422.94*515*0.0*4874124*false*578.6723***0.57*0.05*13.14*12.45*0.77*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 1 2009*2009-01-01*2009-06-30*2055*atencion.cliente.gescooperativo@cajarural.com*A*Alto*1.24*0.41**7783.96*490*0.0*3981419*false*511.4901***1.12*0.1*21.45*17.95*0.68*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 2 2010*2010-07-01*2010-12-31*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.43**13855.48*754*0.0*10560719*false*762.205***1.13*0.1*8.25*9.46*0.89*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 3 2010*2010-07-01*2010-09-30*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.4**13515.38*722*0.0*9516020*false*704.0882***0.57*0.05*4.67*11.22*0.73*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 1 2010*2010-01-01*2010-06-30*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.29**13619.1*736*0.0*9161605*false*672.7026***1.12*0.1*0.33*18.05*0.71*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 1 2010*2010-01-01*2010-03-31*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.26**13208.76*723*0.0*8856296*false*670.4867***0.55*0.05*7.94*13.48*0.72*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 2 2011*2011-07-01*2011-12-31*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.83**11095.3*657*0.0*6778460*false*610.931*1.14**1.14*0.1*7.28*17.37*0.96*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 3 2011*2011-07-01*2011-09-30*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.91**11605.92*678*0.0*6609436*false*569.4883***0.57*0.05*-17.69*22.73*0.63*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 1 2011*2011-01-01*2011-06-30*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.83**12486.11*721*0.0*8639310*false*691.9138***1.12*0.1*-3.78*10.35*0.62*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 1 2011*2011-01-01*2011-03-31*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.66**12373.52*719*0.0*8897235*false*719.0547***0.56*0.05*-5.66*13.06*0.62*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 3 2012*2012-07-01*2012-09-30*2055*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Muy Alto*0.18*0.14**10412.88*644*0.0*6927144*false*665.2476*0.57**0.57*0.05*4.63*11.29*0.96*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 1 2012*2012-01-01*2012-06-30*2055*atencion.cliente.gescooperativo@cajarural.com*Ba1  (MOODY'S)*Muy Alto*0.05*0.33**10731.3*666*0.0*6823222*false*635.8241*1.12**1.12*0.1*-4.67*13.05*0.93*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 1 2012*2012-01-01*2012-03-31*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.08*0.36**11287.35*791*0.0*7528010*false*666.9422*0.56**0.56*0.05*9.17*11.03*0.94*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 2 2011*2011-07-01*2011-12-31*2055*atencion.cliente.gescooperativo@cajarural.com*A1  (MOODY'S)*Muy Alto*0.0*0.83**11095.3*657*0.0*6778460*false*610.931*1.14**1.14*0.1*7.28*17.37*0.96*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 2 2013*2013-07-01*2013-12-31*2055*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*7 en una escala del 1 al 7*0.0*0.09**8003.02*460*0.0*5091380*false*636.182*1.14**1.14*0.1*-1.04*9.44*0.94*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 3 2013*2013-07-01*2013-09-30*2055*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*7 en una escala del 1 al 7*0.0*0.08**9006.35*520*0.0*5790059*false*642.8863*0.57**0.57*0.05*-0.32*15.18*0.93*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 1 2013*2013-01-01*2013-06-30*2055*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*7 en una escala del 1 al 7*0.08*0.07**9687.97*570*0.0*6248525*false*644.9779*1.12**1.12*0.1*-8.45*15.7*0.92*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 1 2013*2013-01-01*2013-03-31*2055*atencion.cliente.gescooperativo@cajarural.com*Ba1 (MOODY'S)*Muy Alto*0.0*0.06**10092.89*603*0.0*7110212*false*704.4773*0.56**0.56*0.05*2.94*10.29*0.92*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 3 2014*2014-07-01*2014-09-30*2055*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*7 en una escala del 1 al 7*0.0*0.03**5616.81*381*0.0*3856298*false*686.5642*0.57**0.57*0.05*3.84*9.21*0.94*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 1 2014*2014-01-01*2014-06-30*2055*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*7 en una escala del 1 al 7*0.0*0.17**5903.9*401*0.0*3903433*false*661.1621*1.12**1.12*0.1*5.98*6.78*0.93*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Trimester 1 2014*2014-01-01*2014-03-31*2055*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*7 en una escala del 1 al 7*0.03*0.15**5949.14*390*0.0*3711414*false*623.8572*0.56**0.56*0.05*-1.94*10.99*0.91*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
RURAL EMERGENTES RENTA VARIABLE, FI*RURAL EMERGENTES R.V., FI*82587262*Semester 2 2013*2013-07-01*2013-12-31*2055*atencion.cliente.gescooperativo@cajarural.com*Ba2 (MOODY'S)*7 en una escala del 1 al 7*0.0*0.09**8003.02*460*0.0*5091380*false*636.182*1.14**1.14*0.1*-1.04*9.44*0.94*GESCOOPERATIVO, S.A., S.G.I.I.C.*BANCO COOPERATIVO ESPAÑOL, S.A.*
