fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - PLUS*88504410*Trimester 3 2020*2020-07-01*2020-09-30*5418*SabadellAssetManagement@bancasabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.85*-0.03**935533.53*61*[]*8996000*false*9.616*0.26*0.0*0.26*0.03*1.6*[]*0.3*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - PLUS*88504410*Semester 1 2020*2020-01-01*2020-06-30*5418*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*1.26*-0.05**804262.28*57*[]*7612000*false*9.4647*0.52*0.0*0.52*0.05*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - BASE*88504410*Semester 1 2020*2020-01-01*2020-06-30*5418*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*1.26*-0.05**706279.43*243*[]*6657000*false*9.4258*0.81*0.0*0.81*0.05*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - PREMIER*88504410*Semester 1 2020*2020-01-01*2020-06-30*5418*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*1.26*-0.05**0.0*0*[]*0*false*9.4805*0.0*0.0*0.0*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - PYME*88504410*Semester 1 2020*2020-01-01*2020-06-30*5418*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*1.26*-0.05**19592.97*9*[]*185000*false*9.4392*0.71*0.0*0.71*0.05*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - EMPRESA*88504410*Semester 1 2020*2020-01-01*2020-06-30*5418*SabadellAssetManagement@SabadellAssetManagement.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*1.26*-0.05**0.0*0*[]*0*false*9.4646*0.0*0.0*0.0*0.0*[]*[]*[]*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - PLUS*88504410*Trimester 1 2020*2020-01-01*2020-03-31*5418*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*-0.09**660760.22*50*[]*5808000*false*8.7903*0.26*0.0*0.26*0.02*-11.01*[]*0.3*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - BASE*88504410*Trimester 1 2020*2020-01-01*2020-03-31*5418*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*-0.09**562291.83*217*[]*4930000*false*8.7672*0.4*0.0*0.4*0.02*-11.15*[]*0.45*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - PREMIER*88504410*Trimester 1 2020*2020-01-01*2020-03-31*5418*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*-0.09**0.0*0*[]*0*false*8.7994*0.0*0.0*0.0*0.0*-10.96*[]*0.0*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - PYME*88504410*Trimester 1 2020*2020-01-01*2020-03-31*5418*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*-0.09**13323.0*7*[]*117000*false*8.7754*0.35*0.0*0.35*0.02*-11.1*[]*0.39*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
SABADELL PLANIFICACIÓN 50, FI*SABADELL PLANIFICACIÓN 50, FI - EMPRESA*88504410*Trimester 1 2020*2020-01-01*2020-03-31*5418*Sabadellassetmanagement@bancsabadell.com*BBB (Standard & Poor's)*4, en una escala del 1 al 7*0.0*-0.09**0.0*0*[]*0*false*8.7902*0.0*0.0*0.0*0.0*-11.01*[]*0.0*SABADELL ASSET MANAGEMENT, S.A., S.G.I.I.C.*BANCO DE SABADELL, S.A.*
