fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -AR-*88337233*Semester 2 2019*2019-07-01*2019-12-31*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.24*0.82**400115.54*2*0.02*4022550*true*10.0535*0.13*0.0*0.13*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -AR-*88337233*Trimester 3 2019*2019-07-01*2019-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.25*2.11**400115.54*2*0.02*3956539*true*9.8885*0.06*0.0*0.06*0.02*-0.85*3.69*0.3*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-BR-*88337233*Trimester 3 2019*2019-07-01*2019-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.25*2.11**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-CR-*88337233*Trimester 3 2019*2019-07-01*2019-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.25*2.11**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*0.0*0.0*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -AR-*88337233*Semester 1 2019*2019-01-01*2019-06-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.0*-0.09**400115.54*2*0.0*3997656*false*9.9913*0.01*0.0*0.01*0.01*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-BR-*88337233*Semester 1 2019*2019-01-01*2019-06-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.0*-0.09**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-CR-*88337233*Semester 1 2019*2019-01-01*2019-06-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.0*-0.09**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -AR-*88337233*Semester 2 2020*2020-07-01*2020-12-31*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.03*-0.5**1825686.19*2*0.31*18195624*true*9.9665*0.13*0.0*0.13*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-BR-*88337233*Semester 2 2020*2020-07-01*2020-12-31*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.03*-0.5**522.22*1*0.16*5270*true*10.091*0.45*0.0*0.45*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-CR-*88337233*Semester 2 2020*2020-07-01*2020-12-31*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.03*-0.5**18497.97*9*0.16*185044*true*10.0035*0.15*0.0*0.15*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -A-*88337233*Semester 2 2020*2020-07-01*2020-12-31*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.03*-0.5**1029933.19*4*0.0*10533496*false*10.2274*0.08*0.0*0.08*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -B-*88337233*Semester 2 2020*2020-07-01*2020-12-31*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.03*-0.5**8690.81*25*0.0*88888*false*10.2278*0.4*0.0*0.4*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -C-*88337233*Semester 2 2020*2020-07-01*2020-12-31*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.03*-0.5**104139.73*99*0.0*1063568*false*10.2129*0.13*0.0*0.13*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -AR-*88337233*Trimester 3 2020*2020-07-01*2020-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.05*-0.46**1825686.19*2*0.31*17236190*true*9.4409*0.06*0.0*0.06*0.02*2.02*5.0*0.24*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-BR-*88337233*Trimester 3 2020*2020-07-01*2020-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.05*-0.46**1.09*1*0.16*10*true*9.5565*0.0*0.0*0.0*0.0*2.12*4.1*0.16*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-CR-*88337233*Trimester 3 2020*2020-07-01*2020-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.05*-0.46**11633.43*5*0.16*110266*true*9.4784*0.09*0.0*0.09*0.02*2.0*4.06*0.27*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -A-*88337233*Trimester 3 2020*2020-07-01*2020-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.05*-0.46**1037037.78*4*0.0*10044381*false*9.6856*0.04*0.0*0.04*0.02*2.01*4.06*0.21*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -B-*88337233*Trimester 3 2020*2020-07-01*2020-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.05*-0.46**7764.95*25*0.0*75335*false*9.7019*0.2*0.0*0.2*0.02*1.84*4.06*0.39*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -C-*88337233*Trimester 3 2020*2020-07-01*2020-09-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*0.05*-0.46**93633.66*97*0.0*905848*false*9.6744*0.06*0.0*0.06*0.02*1.99*4.06*0.24*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -AR-*88337233*Semester 1 2020*2020-01-01*2020-06-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*2.21*-0.47**1825686.19*2*0.05*17171782*true*9.4057*0.12*0.0*0.12*0.03*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-BR-*88337233*Semester 1 2020*2020-01-01*2020-06-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*2.21*-0.47**1.09*1*0.0*10*true*9.5107*0.0*0.0*0.0*0.0*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTE-CR-*88337233*Semester 1 2020*2020-01-01*2020-06-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*2.21*-0.47**12588.98*2*0.03*118907*true*9.4454*0.21*0.0*0.21*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
SANTALUCIA RENTA FIJA EMERGENTES, FI*SANTALUCIA RENTA FIJA EMERGENTES -A-*88337233*Semester 1 2020*2020-01-01*2020-06-30*5374*info@santaluciaam.es*A+*4 en una escala del 1 al 7*2.21*-0.47**1068872.12*4*0.0*10148600*false*9.4947*0.06*0.0*0.06*0.02*[]*[]*[]*SANTA LUCIA ASSET MANAGEMENT, SGIIC, S.A.*BNP PARIBAS SECURITIES SERVICES, SUCURSAL EN ESPAÑA*
