fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase A*88245006*Trimester 3 2019*2019-07-01*2019-09-30*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**62189.14*170*0.0*6386458*false*102.6941*0.26*[]*0.26*0.03*1.09*1.92*0.35*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase A*88245006*Semester 1 2019*2019-01-01*2019-06-30*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**51206.52*145*0.0*5202098*false*101.5905*0.44*[]*0.44*0.04*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase C*88245006*Semester 1 2019*2019-01-01*2019-06-30*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**220718.8*105*0.0*22443040*false*101.6816*0.33*[]*0.33*0.04*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase I*88245006*Semester 1 2019*2019-01-01*2019-06-30*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**164451.35*10*0.0*16734164*false*101.7575*0.22*[]*0.22*0.04*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase A*88245006*Trimester 1 2019*2019-01-01*2019-03-31*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**36822.31*113*0.0*3706473*false*100.6584*0.11*[]*0.11*0.01*0.66*0.67*0.13*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase C*88245006*Trimester 1 2019*2019-01-01*2019-03-31*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**142229.4*66*0.0*14318697*false*100.6733*0.09*[]*0.09*0.01*0.67*0.67*0.11*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compañías 0-30, F.I. - Clase I*88245006*Trimester 1 2019*2019-01-01*2019-03-31*5326*comsanassetm@gruposantander.com*A 2*3 en una escala del 1 al 7.*0.0*-0.3**71614.47*6*0.0*7210551*false*100.6857*0.06*[]*0.06*0.01*0.69*0.67*0.08*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*S. Compaï¿½ï¿½as 0-30, F.I. - Clase A*88245006*Semester 2 2018*2018-07-01*2018-12-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.0*-0.1**1000.0*1*0.0*100000*false*100.0*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*S. Compaï¿½ï¿½as 0-30, F.I. - Clase C*88245006*Semester 2 2018*2018-07-01*2018-12-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.0*-0.1**1000.0*1*0.0*100000*false*100.0*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*S. Compaï¿½ï¿½as 0-30, F.I. - Clase I*88245006*Semester 2 2018*2018-07-01*2018-12-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.0*-0.1**1000.0*1*0.0*100000*false*100.0*0.0*[]*0.0*0.0*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER COMPAÑÍAS 0-30, FI*Santander Compaï¿½ï¿½as 0-30, F.I. - Clase A*88245006*Semester 2 2020*2020-07-01*2020-12-31*5326*comsanassetm@gruposantander.com*A2*3 en una escala del 1 al 7.*0.71*-0.5**118276.6*411*0.0*12200632*false*103.1534*0.53*[]*0.53*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
