fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
SANTANDER RENTA FIJA, FI*SANTANDER BONOS FONDTESORO LARGO PLAZO, F.I.*79520557*Trimester 3 2009*2009-07-01*2009-09-30*208*comsanassetm@gruposantander.com*Aa2*Bajo*0.53*0.25**60596.01*2205*0.0*50516000*false*833.6521***0.32*0.0*0.73*1.94*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*SANTANDER BONOS FONDTESORO LARGO PLAZO, F.I.*79520557*Semester 1 2009*2009-01-01*2009-06-30*208*comsanassetm@gruposantander.com*Aa1*Bajo*0.8*1.31**63781.25*2302*0.0*52788000*false*827.6369***0.62*0.0*-0.14*2.68*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Semester 2 2010*2010-07-01*2010-12-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.04*0.45**211562.24*5810*0.0*170585647*false*806.3142*[]*[]*0.61*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Semester 2 2010*2010-07-01*2010-12-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.04*0.45**43150.57*2807*0.0*34519873*false*799.9864*[]*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Trimester 3 2010*2010-07-01*2010-09-30*208*informesfondos@gruposantander.com*n.d.*Medio*0.06*0.32**221043.65*6131*0.0*182869174*false*827.2989*[]*[]*0.3*0.03*0.88*1.52*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Trimester 3 2010*2010-07-01*2010-09-30*208*informesfondos@gruposantander.com*n.d.*Medio*0.06*0.32**47159.01*2962*0.0*38776800*false*822.2565*[]*[]*0.48*0.03*0.7*1.52*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Semester 1 2010*2010-01-01*2010-06-30*208*informesfondos@gruposantander.com*n.d.*Medio*0.81*0.26**228268.4*6353*0.0*187195899*false*820.0693*[]*[]*0.6*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Semester 1 2010*2010-01-01*2010-06-30*208*informesfondos@gruposantander.com*n.d.*Medio*0.81*0.26**49283.16*3071*0.0*40240181*false*816.5098*[]*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Trimester 1 2010*2010-01-01*2010-03-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.16*0.2**240778.75*6639*0.0*200593889*false*833.1046*[]*[]*0.3*0.02*0.53*0.73*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Trimester 1 2010*2010-01-01*2010-03-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.16*0.2**52862.08*3173*0.0*43925092*false*830.9376*[]*[]*0.47*0.02*0.36*0.73*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Trimester 3 2011*2011-07-01*2011-09-30*208*informesfondos@gruposantander.com*Aa2*Medio*0.45*1.28**176482.75*5021*0.0*141727065*false*803.0647*[]*[]*0.3*0.03*-0.82*4.63*0.34*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Trimester 3 2011*2011-07-01*2011-09-30*208*informesfondos@gruposantander.com*Aa2*Medio*0.45*1.28**37003.42*2444*0.0*29328771*false*792.5963*[]*[]*0.48*0.03*-0.99*4.63*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Semester 1 2011*2011-01-01*2011-06-30*208*informesfondos@gruposantander.com*n.d.*Medio*0.19*0.81**182079.48*5159*0.0*147425893*false*809.6788*[]*[]*0.6*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Semester 1 2011*2011-01-01*2011-06-30*208*informesfondos@gruposantander.com*n.d.*Medio*0.19*0.81**38505.76*2524*0.0*30825370*false*800.5391*[]*[]*0.94*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Trimester 1 2011*2011-01-01*2011-03-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.01*0.58**192222.14*5378*0.0*155358554*false*808.224*[]*[]*0.3*0.02*0.24*1.52*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Trimester 1 2011*2011-01-01*2011-03-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.01*0.58**40221.15*2636*0.0*32196921*false*800.4973*[]*[]*0.47*0.02*0.06*1.52*0.5*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Semester 2 2010*2010-07-01*2010-12-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.04*0.45**211562.24*5810*0.0*170585647*false*806.3142*[]*[]*0.61*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Semester 2 2010*2010-07-01*2010-12-31*208*informesfondos@gruposantander.com*n.d.*Medio*0.04*0.45**43150.57*2807*0.0*34519873*false*799.9864*[]*[]*0.96*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Trimester 3 2012*2012-07-01*2012-09-30*208*informesfondos@gruposantander.com*Baa2*Medio*0.3*0.17**147728.35*4446*0.0*123310755*false*834.7129*0.3*[]*0.3*0.03*2.76*3.22*0.33*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase A*79520557*Trimester 3 2012*2012-07-01*2012-09-30*208*informesfondos@gruposantander.com*Baa2*Medio*0.3*0.17**32349.17*2205*0.0*26464127*false*818.0775*0.48*[]*0.48*0.03*2.57*3.22*0.51*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
SANTANDER RENTA FIJA, FI*Santander Renta Fija, FI - Clase B*79520557*Semester 1 2012*2012-01-01*2012-06-30*208*informesfondos@gruposantander.com*Baa2*Medio*0.68*0.28**154185.16*4621*0.0*125248885*false*812.3278*0.6*[]*0.6*0.05*[]*[]*[]*SANTANDER ASSET MANAGEMENT, S.A., SGIIC*CACEIS BANK SPAIN S.A.*
