fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
TRESSIS CARTERA ECO30, FI*CLASE I - TRESSIS CARTERA ECO30 FI*88110713*Semester 2 2018*2018-07-01*2018-12-31*5300*N/D*ND*7 en una escala de 1 a 7*0.0*-0.01**3000.8*2*0.0*285599*false*95.1744*0.0*0.0*0.0*0.0*[]*[]*[]*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE I - TRESSIS CARTERA ECO30 FI*88110713*Trimester 3 2018*2018-07-01*2018-09-30*5300*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*0.0*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE R - TRESSIS CARTERA ECO30 FI*88110713*Trimester 3 2018*2018-07-01*2018-09-30*5300*N/D*ND*7 en una escala de 1 a 7*0.0*0.0**3000.0*0*0.0*300000*false*100.0*0.0*0.0*0.0*0.0*[]*[]*0.0*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE I - TRESSIS CARTERA ECO30 FI*88110713*Semester 2 2019*2019-07-01*2019-12-31*5300*N/D*ND*7 en una escala de 1 a 7*0.0*-0.12**20393.91*7*0.0*2336377*false*114.5625*0.4*0.31*0.71*0.04*[]*[]*[]*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE R - TRESSIS CARTERA ECO30 FI*88110713*Semester 2 2019*2019-07-01*2019-12-31*5300*N/D*ND*7 en una escala de 1 a 7*0.0*-0.12**12105.25*136*0.0*1364832*false*112.7471*0.68*0.22*0.9*0.04*[]*[]*[]*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE I - TRESSIS CARTERA ECO30 FI*88110713*Trimester 3 2019*2019-07-01*2019-09-30*5300*N/D*ND*7 en una escala de 1 a 7*0.0*-0.09**18150.38*5*0.0*2000417*false*110.2135*0.2*0.04*0.24*0.02*1.14*16.66*0.28*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE R - TRESSIS CARTERA ECO30 FI*88110713*Trimester 3 2019*2019-07-01*2019-09-30*5300*N/D*ND*7 en una escala de 1 a 7*0.0*-0.09**10191.37*109*0.0*1105655*false*108.4893*0.34*0.09*0.43*0.02*0.94*16.67*0.41*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE I - TRESSIS CARTERA ECO30 FI*88110713*Semester 1 2019*2019-01-01*2019-06-30*5300*N/D*ND*7 en una escala de 1 a 7*0.09*-0.09**16492.24*5*0.0*1797148*false*108.9693*0.31*0.36*0.67*0.04*[]*[]*[]*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE R - TRESSIS CARTERA ECO30 FI*88110713*Semester 1 2019*2019-01-01*2019-06-30*5300*N/D*ND*7 en una escala de 1 a 7*0.09*-0.09**8808.5*67*0.0*946686*false*107.4741*0.52*0.33*0.85*0.04*[]*[]*[]*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE I - TRESSIS CARTERA ECO30 FI*88110713*Trimester 1 2019*2019-01-01*2019-03-31*5300*N/D*ND*7 en una escala de 1 a 7*0.0*-0.1**4847.81*3*0.0*521991*false*107.6754*0.0*0.58*0.58*0.02*13.13*15.18*0.23*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
TRESSIS CARTERA ECO30, FI*CLASE R - TRESSIS CARTERA ECO30 FI*88110713*Trimester 1 2019*2019-01-01*2019-03-31*5300*N/D*ND*7 en una escala de 1 a 7*0.0*-0.1**4260.21*34*0.0*452747*false*106.2733*0.0*0.32*0.32*0.02*13.39*15.2*0.23*TRESSIS GESTION, S.G.I.I.C., S.A.*BANCO INVERSIS, S.A.*
