fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Semester 2 2009*2009-07-01*2009-12-31*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.24**68663125.79*1625*0.0*372495488*false*5.425***0.25*0.05*1.22*1.45*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Trimester 3 2009*2009-07-01*2009-09-30*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.03*0.22**82925912.08*1932*0.0*444466115*false*5.3598***0.13*0.03*1.24*1.16*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Semester 1 2009*2009-01-01*2009-06-30*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.88**81837883.17*1889*0.0*433273100*false*5.2943***0.25*0.05*2.39*1.18*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Semester 2 2010*2010-07-01*2010-12-31*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.45**18746932.8*655*0.0*101673924*false*5.4235***0.25*0.05*-1.31*1.51*0.18*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Trimester 3 2010*2010-07-01*2010-09-30*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.36**33806650.39*910*0.0*185789351*false*5.4956***0.13*0.03*1.4*1.33*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Semester 1 2010*2010-01-01*2010-06-30*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.27**40686335.19*1050*0.0*220517073*false*5.4199***0.25*0.05*-0.93*2.8*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Trimester 1 2010*2010-01-01*2010-03-31*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.24**54337309.66*1384*0.0*297279056*false*5.471***0.12*0.02*0.85*1.16*0.15*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Trimester 3 2011*2011-07-01*2011-09-30*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.97**8651284.16*318*0.0*45134309*false*5.2171***0.13*0.03*-4.23*3.25*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Semester 1 2011*2011-01-01*2011-06-30*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.75**11322197.16*387*0.0*61677244*false*5.4475***0.25*0.05*-0.55*1.52*0.16*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
UBS RENTA GESTION ACTIVA, FI*UBS RENTA GESTION ACTIVA FI*85484368*Trimester 1 2011*2011-01-01*2011-03-31*4042*departamento.atencion-cliente@ubs.com*n.d.*Medio*0.0*0.5**12760149.69*434*0.0*69892840*false*5.4774***0.12*0.02*0.99*1.2*0.17*UBS GESTION, S.G.I.I.C., S.A.*UBS EUROPE SE, SUCURSAL EN ESPAÑA*
