fondo*name*nif*period*start_date*end_date*registro_CNMV*email_gest*rating_depos*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim*gestora*depos*ISIN
VALENTUM, FI*VALENTUM FI*66236498*Semester 2 2014*2014-07-01*2014-12-31*4710*N/D*ND*5 en una escala del 1al 7,*0.81*0.0**587139.51*82*0.0*6093038*false*10.3775*0.68*0.37*1.05*0.05*3.25*19.04*0.38*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Trimester 3 2014*2014-07-01*2014-09-30*4710*N/D*ND*6 en una escala del 1al 7,*0.33*0.0**497447.96*71*0.0*4999749*false*10.0508*0.34*-0.03*0.31*0.03*-0.29*12.69*0.38*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Semester 1 2014*2014-01-01*2014-06-30*4710*N/D*ND*5 en una escala del 1al 7,*0.34*0.0**409315.59*64*0.0*4125977*false*10.0802*0.55*0.17*0.72*0.04*0.78*9.8*0.38*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Trimester 1 2014*2014-01-01*2014-03-31*4710*N/D*ND*7 en una escala del 1al 7,*0.0*0.0**271229.3*37*0.0*2712985*false*10.0026*0.21*0.13*0.34*0.02***0.29*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Semester 2 2015*2015-07-01*2015-12-31*4710*N/D*ND*5 en una escala del 1al 7,*0.5*-0.08**1261988.35*233*0.0*16214354*false*12.8483*0.69*0.39*1.07*0.05*10.27*11.41*0.39*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Trimester 3 2015*2015-07-01*2015-09-30*4710*N/D*ND*5 en una escala del 1al 7,*0.31*-0.06**942509.12*138*0.0*10981459*false*11.6513*0.34*-0.53*-0.19*0.03*-5.51*17.72*0.38*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Semester 1 2015*2015-01-01*2015-06-30*4710*N/D*ND*5 en una escala del 1al 7,*0.64*-0.05**841252.55*129*0.0*10373066*false*12.3305*0.68*1.29*1.97*0.05*0.07*13.42*0.38*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Trimester 1 2015*2015-01-01*2015-03-31*4710*N/D*ND*5 en una escala del 1al 7,*0.49*0.0**720013.37*115*0.0*8871700*false*12.3216*0.33*1.54*1.87*0.02*18.73*12.97*0.38*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Semester 2 2016*2016-07-01*2016-12-31*4710*N/D*ND*6 en una escala del 1al 7,*0.56*-0.24**1617139.72*290*0.0*21926262*false*13.5587*0.68*0.55*1.23*0.05*3.06*6.67*0.38*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Trimester 3 2016*2016-07-01*2016-09-30*4710*N/D*ND*6 en una escala del 1al 7,*0.18*-0.24**1550564.0*278*0.0*20400214*false*13.1566*0.34*0.27*0.61*0.03*8.29*10.94*0.37*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
VALENTUM, FI*VALENTUM FI*66236498*Semester 1 2016*2016-01-01*2016-06-30*4710*N/D*ND*5 en una escala del 1al 7,*0.89*-0.18**1422260.78*272*0.0*17279634*false*12.1494*0.67*0.0*0.67*0.05*-1.99*18.73*0.37*VALENTUM ASSET MANAGEMENT, SGIIC, S.A.*CACEIS BANK SPAIN S.A.*ES0182769002
