fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2009 S2*2009-07-01*2009-12-31*Bajo *0.59*0.31**410198.26*191*0.0*63508617*false*154.8242***0.55*0.08*-0.3*1.14*0.32
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2009 T3*2009-07-01*2009-09-30*Bajo*0.29*0.31**421087.94*217*0.0*65387151*false*155.2871***0.28*0.04***
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2009 S1*2009-01-01*2009-06-30*Bajo*0.89*1.03**432384.45*245*0.0*66856926*false*154.6238***0.55*0.07*0.21*0.02*0.32
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2010 S2*2010-07-01*2010-12-31*BAJO*0.96*0.47**394157.06*131*0.0*60369884*false*153.162***0.55*0.08*-1.59*2.01*0.32
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2010 T3*2010-07-01*2010-09-30*BAJO*0.6*0.4**396753.79*146*0.0*61748538*false*155.6344***0.28*0.04*0.55*1.14*0.32
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2010 S1*2010-01-01*2010-06-30*BAJO*0.32*0.29**399485.7*158*0.0*61833914*false*154.7838***0.55*0.07*-0.62*1.11*0.32
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2010 T1*2010-01-01*2010-03-31*BAJO*0.08*0.28**404954.84*174*0.0*63070948*false*155.7481***0.27*0.04*0.6*1.0*0.31
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2011 T3*2011-07-01*2011-09-30*BAJO*0.31*0.89**392817.15*119*0.0*61274094*false*155.9863***0.28*0.03*0.78*3.07*0.32
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FONDTESORO LP*2011 S1*2011-01-01*2011-06-30*BAJO*0.26*0.8**393002.12*121*0.0*60828278*false*154.7785***0.55*0.07*0.11*1.28*0.32
BANKIA FONDTESORO LARGO PLAZO, FI*SAFEI AHORRO FO*2011 T1*2011-01-01*2011-03-31*BAJO*0.09*0.6**393954.42*125*0.0*60909096*false*154.6095***0.27*0.04*0.95*1.67*0.31
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2012 S2*2012-07-01*2012-12-31*BAJO*0.99*0.06**408158.67*99*0.0*65105716*false*159.5108*0.36*0.0*0.36*0.04*1.34*2.79*0.21
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2012 T3*2012-07-01*2012-09-30*BAJO*0.61*0.09**409078.39*99*0.0*64389756*false*157.402*0.18*0.0*0.18*0.02*0.74*3.08*0.21
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2012 S1*2012-01-01*2012-06-30*BAJO*0.75*0.31**410075.79*106*0.0*64072988*false*156.2467*0.43*0.0*0.43*0.04*-1.61*2.98*0.2
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2012 T1*2012-01-01*2012-03-31*BAJO*0.56*0.32**392886.16*117*0.0*62389694*false*158.7984*0.25*0.0*0.25*0.02*1.05*2.44*0.27
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2013 S2*2013-07-01*2013-12-31*2, en una escala del 1 al 7*0.43*0.01**423449.29*181*0.0*69963774*false*165.2235*0.36*0.0*0.36*0.04*0.51*1.65*0.21
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2013 T3*2013-07-01*2013-09-30*BAJO*0.05*0.01**412427.72*111*0.0*67798456*false*164.3887*0.18*0.0*0.18*0.02*1.36*1.76*0.21
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2013 S1*2013-01-01*2013-06-30*BAJO*0.7*0.01**412681.76*102*0.0*66933019*false*162.1904*0.36*0.0*0.36*0.04*0.68*2.38*0.2
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2013 T1*2013-01-01*2013-03-31*BAJO*0.38*0.01**408013.51*96*0.0*65726774*false*161.0897*0.18*0.0*0.18*0.02*0.99*2.8*0.2
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2014 S2*2014-07-01*2014-12-31*3, en una escala del 1 al 7*0.64*0.04**507265.0*576*0.0*85767250*false*169.0778*0.36*0.0*0.36*0.04*-0.21*1.07*0.2
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2014 T3*2014-07-01*2014-09-30*3, en una escala del 1 al 7*0.26*0.06**509095.56*586*0.0*86257282*false*169.4324*0.18*0.0*0.18*0.02*0.46*1.04*0.21
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2014 T1*2014-01-01*2014-03-31*3, en una escala del 1 al 7*0.21*0.01**452760.44*329*0.0*75864539*false*167.56*0.18*0.0*0.18*0.02*1.41*1.46*0.2
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2015 T3*2015-07-01*2015-09-30*3, en una escala del 1 al 7*0.85*0.0**377345.37*422*0.0*64057811*false*169.7591*0.12*0.0*0.12*0.02*0.47*1.13*0.14
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2015 S1*2015-01-01*2015-06-30*3, en una escala del 1 al 7*2.82*0.0**380299.32*442*0.0*64259518*false*168.9709*0.3*0.0*0.3*0.04*-0.91*1.18*0.14
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2015 T1*2015-01-01*2015-03-31*3, en una escala del 1 al 7*1.62*0.01**484766.36*543*0.0*82666432*false*170.5284*0.17*0.0*0.17*0.02*0.86*1.11*0.2
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2016 S2*2016-07-01*2016-12-31*3, en una escala del 1 al 7*0.81*0.0**90587.38*605*0.0*15415970*false*170.1779*0.24*0.0*0.24*0.04*-0.56*0.79*0.14
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2016 T3*2016-07-01*2016-09-30*3, en una escala del 1 al 7*0.5*0.0**398113.28*605*0.0*68131673*false*171.1364*0.12*0.0*0.12*0.02*-0.01*0.82*0.14
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2016 S1*2016-01-01*2016-06-30*3, en una escala del 1 al 7*1.23*0.0**394485.08*558*0.0*67518529*false*171.1561*0.23*0.0*0.23*0.04*0.36*0.86*0.14
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2016 T1*2016-01-01*2016-03-31*3, en una escala del 1 al 7*0.68*0.0**387109.53*525*0.0*66021415*false*170.5497*0.12*0.0*0.12*0.02*0.24*0.96*0.14
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2017 T3*2017-07-01*2017-09-30*2, en una escala del 1 al 7*0.33*0.0**51784.02*423*0.0*8777593*false*169.5039*0.12*0.0*0.12*0.02*-0.2*0.81*0.15
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2017 S1*2017-01-01*2017-06-30*2, en una escala del 1 al 7*1.23*0.0**56996.0*450*0.0*9680228*false*169.8405*0.23*0.0*0.23*0.04*0.07*0.77*0.15
BANKIA FONDTESORO LARGO PLAZO, FI*BANKIA FT LARGO PLAZO*2017 T1*2017-01-01*2017-03-31*2, en una escala del 1 al 7*0.62*0.0**63538.89*475*0.0*10784443*false*169.7298*0.12*0.0*0.12*0.02*-0.26*0.85*0.15
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2018 T 3*2018-07-01*2018-09-30*2, en una escala del 1 al 7*0.13*0.0**40790.32*301*0.0*6866214*false*168.3295*0.12*0.0*0.12*0.02*-0.34*0.83*0.15
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2018 T 3*2018-07-01*2018-09-30*2, en una escala del 1 al 7*0.13*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32018_V-79328134_da"" decimals=""2"" unitref=""pure"">-0.34</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32018_V-79328134_da"" decimals=""2"" unitref=""pure"">0.83</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_T32018_V-79328134_da"" decimals=""2"" unitref=""pure"">0.15</iic-com:ratiototalgastos>]"
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2018 S 1*2018-01-01*2018-06-30*2, en una escala del 1 al 7*0.35*0.0**37011.01*315*0.0*6251403*false*168.9066*0.23*0.0*0.23*0.04*-0.39*0.86*0.15
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2018 S 1*2018-01-01*2018-06-30*2, en una escala del 1 al 7*0.35*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S12018_V-79328134_daq"" decimals=""2"" unitref=""pure"">-0.39</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12018_V-79328134_daq"" decimals=""2"" unitref=""pure"">0.86</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S12018_V-79328134_daq"" decimals=""2"" unitref=""pure"">0.15</iic-com:ratiototalgastos>]"
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2018 T 1*2018-01-01*2018-03-31*2, en una escala del 1 al 7*0.39*0.0**40888.7*347*0.0*6933529*false*169.5708*0.12*0.0*0.12*0.02*0.13*0.69*0.16
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2018 T 1*2018-01-01*2018-03-31*2, en una escala del 1 al 7*0.39*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*0.0*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12018_V-79328134_da"" decimals=""2"" unitref=""pure"">0.69</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2017 S 2*2017-07-01*2017-12-31*2, en una escala del 1 al 7*0.86*0.0**46315.97*399*0.0*7843669*false*169.3513*0.24*0.0*0.24*0.04*-0.09*0.81*0.14
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2017 S 2*2017-07-01*2017-12-31*2, en una escala del 1 al 7*0.86*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S22017_V-79328134_daq"" decimals=""2"" unitref=""pure"">-0.09</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S22017_V-79328134_daq"" decimals=""2"" unitref=""pure"">0.81</iic-com-fon:volatilidadvalorliquidativo>]"*"[<iic-com:ratiototalgastos contextref=""FIM_S22017_V-79328134_daq"" decimals=""2"" unitref=""pure"">0.14</iic-com:ratiototalgastos>]"
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2019 T 3*2019-07-01*2019-09-30*2, en una escala del 1 al 7*0.16*0.0**204512.5*2220*0.0*35803840*false*175.0692*0.18*0.0*0.18*0.02*0.43*3.1*0.19
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2019 T 3*2019-07-01*2019-09-30*2, en una escala del 1 al 7*0.16*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T32019_V-79328134_da"" decimals=""2"" unitref=""pure"">0.43</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T32019_V-79328134_da"" decimals=""2"" unitref=""pure"">3.10</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2019 S 1*2019-01-01*2019-06-30*2, en una escala del 1 al 7*0.99*0.0**206726.4*2257*0.0*36038180*false*174.3279*0.35*0.0*0.35*0.03*2.62*2.14*0.19
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2019 S 1*2019-01-01*2019-06-30*2, en una escala del 1 al 7*0.99*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_S12019_V-79328134_daq"" decimals=""2"" unitref=""pure"">2.62</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_S12019_V-79328134_daq"" decimals=""2"" unitref=""pure"">2.14</iic-com-fon:volatilidadvalorliquidativo>]"*0.0
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2019 T 1*2019-01-01*2019-03-31*2, en una escala del 1 al 7*0.86*0.0**200066.13*2250*0.0*33985513*false*169.8714*0.17*0.0*0.17*0.01*0.82*1.08*0.2
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2019 T 1*2019-01-01*2019-03-31*2, en una escala del 1 al 7*0.86*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*"[<iic-com:rentabilidadiic contextref=""FIM_T12019_V-79328134_da"" decimals=""2"" unitref=""pure"">0.82</iic-com:rentabilidadiic>]"*"[<iic-com-fon:volatilidadvalorliquidativo contextref=""FIM_T12019_V-79328134_da"" decimals=""2"" unitref=""pure"">1.08</iic-com-fon:volatilidadvalorliquidativo>]"*0.01
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2018 S 2*2018-07-01*2018-12-31*2, en una escala del 1 al 7*0.0*0.0**199543.61*2283*0.0*33622700*false*168.498*0.28*0.0*0.28*0.04*[]*[]*0.17
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO CARTERA, FI*2018 S 2*2018-07-01*2018-12-31*2, en una escala del 1 al 7*0.0*0.0**0.0*0*0.0*0*false*0.0*0.0*0.0*0.0*0.0*[]*[]*"[<iic-com:ratiototalgastos contextref=""FIM_S22018_V-79328134_daq"" decimals=""2"" unitref=""pure"">0.17</iic-com:ratiototalgastos>]"
BANKIA FONDTESORO LARGO PLAZO, FI*PT. BANKIA FONDTESORO LARGO PLAZO UNIVERSAL, FI*2020 S 2*2020-07-01*2020-12-31*3, en una escala del 1 al 7*0.0*-0.31**223310.86*2148*0.0*39393152*false*176.405*0.35*0.0*0.35*0.03*0.81*1.75*0.19
