fondo*name*period*start_date*end_date*riesgo*rotacion*rentab_avg*remun_liq*n_participaciones*n_participes*beneficio*patrimonio*dividendos*valor_liq*comision_gest_pat*comision_gest_res*comision_gest_total*comision_depos*rentab_IIC_trim*volat_vl_trim*ratio_gastos_trim
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 S2*2009-07-01*2009-12-31*bajo*0.0*0.24**9668.75*506*0.0*13012011*false*1345.7805***0.29*0.05*0.07*0.05*0.16
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2009 T3*2009-07-01*2009-09-30*bajo*0.0*0.24**10463.07*504*0.0*14071225*false*1344.8472***0.15*0.03*0.07*0.05*0.19
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*Gaesco Fondo Fondtesoro Corto Plazo, FI*2009 S1*2009-01-01*2009-06-30*bajo*0.01*0.24**10558.8*508*0.0*14189667*false*1343.8715***0.38*0.05*0.05*0.08*0.11
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 S2*2010-07-01*2010-12-31*bajo*0.0*0.94**7129.94*473*0.0*9620148*false*1349.2612***0.4*0.06*0.16*0.13*0.24
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 T3*2010-07-01*2010-09-30*bajo*0.0*0.89**7198.58*479*0.0*9696877*false*1347.0535***0.2*0.03*0.07*0.02*0.21
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*Gaesco Fondo Fondtesoro Corto Plazo, FI*2010 S1*2010-01-01*2010-06-30*bajo*0.0*0.24**7795.83*483**10493588*false*1346.0508***0.31*0.05*0.01*0.01*0.17
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*"Gaesco
                Fondo Fondtesoro Corto Plazo, FI"*2010 T1*2010-01-01*2010-03-31*bajo*0.0*0.24**9151.74*494*0.0*12317456*false*1345.9144***0.2*0.02*0.01*0.01*0.18
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2011 S2*2011-07-01*2011-12-31*Bajo*0.0*1.56**5895.46*460*0.0*7993762*false*1355.9176*0.4*0.0*0.4*0.05*0.21*0.05*0.24
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2011 T3*2011-07-01*2011-09-30*Bajo*0.0*1.23**6515.34*464*0.0*8815564*false*1353.0482***0.2*0.03*0.14*0.01*0.24
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2011 S1*2011-01-01*2011-06-30*Bajo*0.0*0.87**6569.44*478*0.0*8876448*false*1351.1736***0.39*0.05*0.09*0.01*0.23
GVCGAESCO FONDO FONDTESORO CORTO PLAZO, FI*GVC Gaesco Fondo Fondtesoro Corto Plazo, FI*2011 T1*2011-01-01*2011-03-31*bajo*0.0*0.81**6699.55*474*0.0*9043752*false*1349.9048***0.19*0.02*0.05*0.0*0.23
